,Hotel_Name,Reviewer_Nationality,Review_Date,Reviewer_Score
407901,Hotel Dei Cavalieri, Turkey ,2/5/2016,7.1
219108,Park Plaza London Waterloo, Oman ,3/27/2017,10.0
228167,The Piccadilly London West End, Israel ,1/3/2017,10.0
268664,Hilton Vienna, Canada ,12/13/2016,8.8
368356,Best Western Blue Tower Hotel, Ireland ,1/23/2017,5.8
131036,Bloomsbury Palace Hotel, Turkey ,11/10/2016,6.7
361780,Hilton London Wembley, United Kingdom ,5/31/2016,7.9
345047,Hilton London Kensington Hotel, United Arab Emirates ,2/28/2017,6.3
199304,Hilton London Tower Bridge, Thailand ,5/10/2016,9.6
365070,Lancaster London, United Kingdom ,4/21/2017,10.0
101605,Mondrian London, United Kingdom ,7/22/2016,10.0
502831,Boutique Hotel Notting Hill, Ireland ,1/6/2017,10.0
291474,Taj 51 Buckingham Gate Suites and Residences, United Kingdom ,2/16/2017,10.0
137107,The Westin Paris Vend me, United Kingdom ,5/2/2017,10.0
233059,Gainsborough Hotel, United Kingdom ,1/28/2016,2.9
131378,Bloomsbury Palace Hotel, Italy ,10/20/2015,2.9
87278,DoubleTree by Hilton London Victoria, United Kingdom ,3/7/2017,9.6
232758,Gainsborough Hotel, United Kingdom ,5/21/2017,5.4
290711,Amba Hotel Marble Arch, Oman ,3/27/2017,9.2
157506,Best Western Premier Kapital Op ra, United States of America ,6/8/2016,10.0
52644,Hilton London Paddington, United Kingdom ,4/15/2017,8.8
134011,Holiday Inn London Mayfair, United Kingdom ,4/9/2017,9.6
513912,Holiday Inn London Kensington, United Kingdom ,9/17/2015,8.8
67379,Britannia International Hotel Canary Wharf, United Kingdom ,8/2/2016,5.4
160349,Radisson Blu Edwardian Berkshire, United States of America ,9/12/2015,5.4
351209,Mercure Josefshof Wien, United Kingdom ,4/24/2016,9.6
189708,St George s Hotel Wembley, United Kingdom ,12/23/2015,10.0
367668,Royal Ramblas, United States of America ,12/7/2015,5.8
226052,Clayton Hotel Chiswick, United Kingdom ,6/19/2016,9.6
359806,Park Plaza Vondelpark Amsterdam, United Kingdom ,7/4/2016,10.0
171710,every hotel Piccadilly, United Kingdom ,10/14/2015,10.0
24874,Doubletree by Hilton London Kensington, United Kingdom ,12/15/2015,3.8
94039,The Montcalm Marble Arch, Russia ,12/31/2015,9.6
419642,art otel Amsterdam, Ireland ,10/27/2015,10.0
258700,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,8/16/2016,9.2
47702,Saint Georges Hotel, United Kingdom ,5/8/2016,5.5
306762,NH Collection Amsterdam Grand Hotel Krasnapolsky, France ,7/15/2016,10.0
243523,Park Grand London Hyde Park, South Africa ,3/22/2016,5.4
1843,Apex Temple Court Hotel, United Kingdom ,1/9/2016,9.6
302695,Worldhotel Cristoforo Colombo, Sweden ,8/14/2016,9.2
90618,Novotel Paris Gare De Lyon, India ,4/13/2017,10.0
476115,Idea Hotel Milano San Siro, Estonia ,9/30/2016,3.8
107719,Montcalm Royal London House City of London, Ireland ,11/13/2016,9.6
150988,Park Grand London Kensington, Algeria ,11/14/2015,9.2
274237,Urban Lodge Hotel, Ireland ,7/17/2016,9.6
479194,Ilunion Almirante, New Zealand ,9/3/2016,7.5
449465,Derag Livinghotel Kaiser Franz Joseph Vienna, United Kingdom ,1/6/2017,7.1
360628,Hotel Serhs Rivoli Rambla, United Kingdom ,5/18/2017,7.5
493497,ADI Doria Grand Hotel, Australia ,10/28/2015,6.7
294203,Hotel Barcelona Catedral, Australia ,7/13/2016,9.2
99844,Mercure Paris Centre Tour Eiffel, Malta ,11/17/2015,10.0
459695,Ramada Apollo Amsterdam Centre, United Kingdom ,12/30/2016,10.0
485609,Starhotels Business Palace, Germany ,8/23/2016,8.3
452060,Hotel Royal, United Kingdom ,2/17/2017,7.5
53801,Charlotte Street Hotel, Kuwait ,2/9/2016,10.0
193066,H tel Barri re Le Fouquet s, Saudi Arabia ,10/10/2016,8.8
204481,The Arch London, Russia ,1/26/2016,9.6
168115,Strand Palace Hotel, United Kingdom ,12/15/2015,9.6
15689,Intercontinental London The O2, United Kingdom ,4/25/2016,9.6
509034,Corinthia Hotel London, United Kingdom ,4/5/2017,9.6
461418,Amsterdam Marriott Hotel, Australia ,8/15/2016,9.2
393096,Mercure Hotel Amsterdam West, United Kingdom ,8/10/2016,8.8
87545,DoubleTree by Hilton London Victoria, United Kingdom ,1/21/2016,10.0
267623,Corendon Vitality Hotel Amsterdam, Poland ,6/9/2017,10.0
493780,Starhotels Echo, Estonia ,12/15/2015,9.6
455018,Hilton London Canary Wharf, United Kingdom ,1/9/2017,6.7
213789,Shaftesbury Premier London Paddington, United Kingdom ,2/12/2016,8.3
79619,Courthouse Hotel London, United Kingdom ,12/8/2016,8.3
513025,Holiday Inn London Kensington, United Kingdom ,12/12/2016,3.8
422401,citizenM Amsterdam, United Kingdom ,9/25/2016,8.8
82771,The Gore Hotel Starhotels Collezione, United Kingdom ,2/2/2016,8.8
404317,Hotel Principe Di Savoia, Hong Kong ,8/11/2016,10.0
428202,Austria Trend Hotel Savoyen Vienna, United Kingdom ,7/9/2017,10.0
92798,The Drayton Court Hotel, Germany ,11/28/2016,9.2
295248,Holiday Inn London Regent s Park, United Kingdom ,1/19/2016,7.5
424255,H10 Metropolitan 4 Sup, United States of America ,5/1/2017,9.2
331747,Catalonia Passeig de Gr cia 4 Sup, Australia ,7/16/2016,10.0
5018,The Principal London, United Kingdom ,10/25/2015,7.1
110516,Radisson Blu Portman Hotel London, United Kingdom ,4/23/2017,7.9
343510,Arion Cityhotel Vienna und Appartements, Romania ,1/5/2016,7.1
489309,Hotel Da Vinci, Sweden ,8/26/2015,3.8
377358,Boutiquehotel Das Tyrol, United States of America ,7/20/2016,7.5
327129,Durrants Hotel, Portugal ,9/6/2016,9.6
362350,Hilton London Wembley, United Kingdom ,1/29/2017,10.0
190547,Millennium Hotel London Mayfair, United Kingdom ,10/13/2016,10.0
46157,Radisson Blu Edwardian Grafton, United Kingdom ,12/15/2015,7.5
135129,Novotel London Paddington, United Kingdom ,7/27/2016,8.3
311275,Best Western Premier Hotel Couture, United States of America ,1/8/2017,8.8
509275,The Student Hotel Amsterdam City, Switzerland ,7/11/2017,8.8
348494,DoubleTree by Hilton London Chelsea, Nigeria ,8/1/2016,8.3
374591,Hotel Balmes, Finland ,1/5/2016,8.3
258949,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,8/7/2015,10.0
435269,Ayre Hotel Rosell n, Netherlands ,2/6/2017,8.3
302149,Holiday Inn London Bloomsbury, United Kingdom ,8/23/2015,10.0
396325,Hotel Am Parkring, Croatia ,11/23/2015,7.1
207288,Shaftesbury Hyde Park International, United Kingdom ,1/31/2016,7.9
469467,Sunotel Club Central, Hong Kong ,1/24/2017,9.6
374065,Expo Hotel Barcelona, Spain ,9/29/2015,10.0
33070,My Bloomsbury, Ireland ,6/2/2016,9.2
155468,Rafayel Hotel Spa, United Kingdom ,10/14/2016,5.8
267766,Corendon Vitality Hotel Amsterdam, Australia ,9/19/2016,8.3
370515,25hours Hotel beim MuseumsQuartier, Netherlands ,3/15/2016,10.0
476970,IH Hotels Milano Watt 13, Czech Republic ,1/7/2016,7.9
267295,Corendon Vitality Hotel Amsterdam, United Kingdom ,10/28/2016,10.0
52106,Mercure London Paddington Hotel, Brunei ,9/11/2015,10.0
28619,Le Parisis Paris Tour Eiffel, Switzerland ,1/11/2017,3.8
429374,K West Hotel Spa, United Kingdom ,11/8/2016,8.3
294752,Holiday Inn London Regent s Park, United Kingdom ,2/28/2016,8.3
61773,The Bloomsbury Hotel, United Kingdom ,5/11/2016,7.1
143209,Hyatt Regency London The Churchill, Singapore ,12/15/2016,7.9
274878,Urban Lodge Hotel, Ireland ,3/31/2016,10.0
473446,IH Hotels Milano Gioia, Hungary ,2/3/2016,7.1
249990,Novotel Paris Les Halles, Uganda ,11/4/2015,7.9
27569,The Grosvenor, United Kingdom ,3/1/2016,9.2
227741,Best Western Palm Hotel, United Kingdom ,2/27/2016,9.6
333461,The Cumberland A Guoman Hotel, Philippines ,1/8/2016,7.1
31633,Holiday Inn London Stratford City, United Kingdom ,8/25/2015,9.2
208064,The Montcalm At Brewery London City, United Kingdom ,3/6/2017,10.0
501746,Arthotel ANA Boutique Six, South Africa ,10/9/2016,9.6
479783,Barcelona Hotel Colonial, United States of America ,10/16/2016,10.0
361238,Hilton London Wembley, United Kingdom ,6/17/2017,9.6
331412,Hotel Indigo Barcelona Plaza Catalunya, Saudi Arabia ,9/11/2015,6.3
207593,Shaftesbury Hyde Park International, Australia ,10/4/2016,8.8
316800,Holiday Inn London Wembley, United Kingdom ,6/12/2017,9.2
109463,London Marriott Hotel West India Quay, United Kingdom ,5/8/2016,10.0
148323,Shangri La Hotel at The Shard London, United Kingdom ,5/27/2016,10.0
183234,St James Court A Taj Hotel London, United Kingdom ,1/22/2017,9.6
344650,Hilton London Kensington Hotel, United Kingdom ,6/29/2016,6.3
123632,Mayflower Hotel Apartments, Norway ,6/21/2016,5.0
208210,The Montcalm At Brewery London City, United Kingdom ,9/20/2016,10.0
328395,Ayre Hotel Gran V a, New Zealand ,6/7/2016,8.3
363960,Corus Hotel Hyde Park, Ireland ,7/13/2017,10.0
140182,DoubleTree by Hilton London Westminster, United Kingdom ,7/10/2017,8.3
480099,Hotel Sanpi Milano, Saudi Arabia ,7/27/2016,5.4
102083,Mondrian London, United Kingdom ,8/18/2015,10.0
178093,Grand H tel Du Palais Royal, Saudi Arabia ,8/30/2016,10.0
158844,The Chesterfield Mayfair, United Kingdom ,4/26/2016,9.6
357211,De Vere Devonport House, United Kingdom ,7/19/2017,7.9
56485,DoubleTree by Hilton London Hyde Park, United Kingdom ,5/18/2016,7.9
450471,Hotel Esther a, Australia ,12/5/2016,9.6
364223,Corus Hotel Hyde Park, United Kingdom ,9/15/2016,7.1
369207,Hampshire Hotel Amsterdam American, Philippines ,1/24/2017,9.2
164349,Strand Palace Hotel, Malaysia ,6/23/2017,6.3
291395,Amba Hotel Marble Arch, United Kingdom ,11/18/2015,9.6
13218,H tel des Ducs D Anjou, Australia ,7/2/2016,8.8
239372,H tel Baume, Saudi Arabia ,10/28/2016,7.5
104490,Mercure Paris Terminus Nord, United Kingdom ,3/22/2017,7.5
216979,Dorsett Shepherds Bush, United Kingdom ,2/7/2016,9.6
220487,Newhotel Roblin, Australia ,11/13/2016,9.6
73387,Malmaison London, United Kingdom ,8/2/2016,10.0
505962,Park Plaza Westminster Bridge London, France ,6/5/2017,9.6
494586,Bianca Maria Palace Hotel, Taiwan ,7/6/2016,8.3
264322,Radisson Blu Edwardian Kenilworth, United Arab Emirates ,1/4/2016,5.8
489987,Hotel Da Vinci, Saudi Arabia ,6/1/2016,7.9
182178,citizenM Tower of London, China ,8/21/2016,6.7
103597,Montfleuri, Ireland ,4/18/2017,7.5
170590,Rubens At The Palace, Ireland ,5/23/2016,10.0
210253,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,9/29/2015,3.3
140551,DoubleTree by Hilton London Westminster, Norway ,8/1/2016,9.6
295070,Holiday Inn London Regent s Park, United Kingdom ,8/28/2016,7.5
128412,Park Grand Paddington Court, Israel ,12/25/2016,10.0
291950,Ohla Eixample, Australia ,6/1/2017,8.8
44378,Mercure London Bloomsbury Hotel, United Kingdom ,3/7/2017,8.3
409567,Hotel Michelangelo, Australia ,6/19/2016,8.8
197676,Washington Mayfair Hotel, United Kingdom ,10/3/2016,10.0
495433,Grand Visconti Palace, Switzerland ,5/10/2016,10.0
283343,Catalonia Diagonal Centro, Finland ,11/22/2015,9.2
481452,Hotel Manin, Saudi Arabia ,6/25/2016,6.7
290417,Amba Hotel Marble Arch, United Kingdom ,7/12/2016,8.3
391980,DoubleTree by Hilton Amsterdam Centraal Station, United Kingdom ,8/4/2016,10.0
398074,Occidental Atenea Mar Adults Only, United Kingdom ,2/27/2017,7.1
312984,Mercure Vienna First, Belgium ,11/22/2015,7.9
286857,Hotel Pulitzer, Switzerland ,4/19/2016,7.5
377187,IntercityHotel Wien, United States of America ,8/30/2016,9.2
287078,Hotel Alimara, United Kingdom ,11/3/2016,7.9
115660,Henry VIII, Romania ,10/26/2015,7.9
379624,JUFA Hotel Wien, Slovenia ,1/4/2016,9.6
362448,Hilton London Wembley, United Kingdom ,12/7/2016,7.5
286932,Hotel Pulitzer, United States of America ,9/24/2015,9.6
120036,Club Quarters Hotel St Paul s, Switzerland ,5/15/2017,8.8
89581,Villa Montparnasse, United States of America ,6/3/2016,10.0
93253,The Montcalm Marble Arch, Hong Kong ,1/7/2017,6.3
75025,Park Plaza London Riverbank, United Kingdom ,4/19/2016,9.2
69221,Hilton London Euston, United Kingdom ,6/12/2017,9.2
132122,Hotel du Petit Moulin, United States of America ,9/10/2015,10.0
138512,Henley House Hotel, United Kingdom ,1/27/2017,8.8
99446,Platine Hotel Spa, France ,12/24/2016,10.0
279478,Catalonia Atenas, France ,8/4/2015,7.5
270629,Hotel Mailberger Hof, Turkey ,5/5/2017,7.5
507587,Park Plaza Westminster Bridge London, United Kingdom ,4/2/2016,9.6
481645,Grand Hotel et de Milan, South Korea ,8/11/2015,9.6
226165,Clayton Hotel Chiswick, Canada ,11/15/2015,9.2
168954,Hilton London Olympia, United Kingdom ,2/3/2017,9.6
426734,Catalonia Born, United Kingdom ,1/2/2016,9.6
204624,Commodore Hotel, United Kingdom ,4/10/2016,7.1
126778,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,8/25/2015,9.6
437437,Crowne Plaza London Docklands, Germany ,12/20/2015,8.3
469291,Sunotel Club Central, United Kingdom ,1/8/2017,7.9
288134,The Westbury A Luxury Collection Hotel Mayfair London, Kuwait ,5/14/2016,7.5
226449,Clayton Hotel Chiswick, United Kingdom ,11/12/2016,10.0
286208,Hotel Regina, Turkey ,12/20/2016,10.0
237312,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,8/5/2015,8.3
488140,Senato Hotel Milano, Latvia ,8/4/2015,5.0
472147,TownHouse 33, Australia ,6/21/2016,7.5
219171,Park Plaza London Waterloo, United Kingdom ,2/13/2017,10.0
474114,UNA Hotel Century, Lebanon ,8/11/2016,9.2
497995,NH Carlton Amsterdam, United Kingdom ,8/8/2015,9.2
282248,Aparthotel Arai 4 Superior, Canada ,11/21/2015,8.3
462600,DO CO Hotel Vienna, China ,6/20/2016,8.3
71924,Novotel London Greenwich, United Kingdom ,2/6/2017,6.0
10540,Grand Royale London Hyde Park, United Kingdom ,6/7/2016,8.3
427284,NH Amsterdam Schiller, United Kingdom ,5/1/2017,10.0
174594,K K H tel Cayr Saint Germain des Pr s, United States of America ,5/22/2017,9.2
432013,Catalonia Eixample 1864, United Kingdom ,11/4/2016,10.0
309650,Holiday Inn Amsterdam, United Kingdom ,4/7/2016,8.8
110885,Radisson Blu Portman Hotel London, United Kingdom ,11/24/2015,6.7
246985,Mercure London Hyde Park, United Kingdom ,3/6/2017,9.6
226650,Clayton Hotel Chiswick, United Kingdom ,1/1/2016,10.0
484105,Hotel Berna, South Korea ,5/6/2017,10.0
69749,Millennium Hotel London Knightsbridge, United Kingdom ,4/19/2016,8.8
322322,DoubleTree By Hilton London Excel, United Kingdom ,12/8/2016,9.6
199120,Hilton London Tower Bridge, United Kingdom ,3/14/2017,7.9
246752,Ten Manchester Street Hotel, United Kingdom ,5/10/2016,10.0
396913,H10 Port Vell 4 Sup, United Kingdom ,7/6/2016,9.6
140440,DoubleTree by Hilton London Westminster, United Kingdom ,10/18/2016,10.0
426115,Austria Trend Hotel Rathauspark Wien, Abkhazia Georgia ,6/28/2017,9.6
450381,Hotel Esther a, United Kingdom ,2/17/2017,5.4
412090,Hotel SB Diagonal Zero Barcelona 4 Sup, Hungary ,7/18/2016,10.0
152270,H tel D Aubusson, United States of America ,3/17/2016,10.0
99234,Twenty Nevern Square Hotel, United Kingdom ,8/6/2015,10.0
139774,DoubleTree by Hilton London Westminster, Australia ,1/3/2017,10.0
234995,Club Quarters Hotel Gracechurch, United Kingdom ,9/27/2016,10.0
57153,DoubleTree by Hilton London Hyde Park, Saudi Arabia ,10/5/2015,7.9
182830,La Suite West Hyde Park, United Kingdom ,12/15/2015,5.8
213324,Shaftesbury Premier London Paddington, United Kingdom ,7/20/2017,3.8
245893,The Exhibitionist Hotel, United Kingdom ,5/29/2016,7.1
321704,DoubleTree By Hilton London Excel, United Kingdom ,8/23/2016,7.1
211997,Fifty Four Boutique Hotel, United Kingdom ,10/7/2015,8.8
193857,The Marylebone Hotel, Jersey ,5/15/2016,10.0
339423,WestCord Fashion Hotel Amsterdam, Austria ,4/24/2016,5.0
322520,DoubleTree By Hilton London Excel, Norway ,7/27/2016,7.5
121115,Phileas Hotel, United Kingdom ,8/11/2016,9.6
102875,Saint James Albany Paris Hotel Spa, United States of America ,8/1/2017,3.3
290613,Amba Hotel Marble Arch, Kuwait ,6/21/2017,7.9
182413,Chiswick Rooms, United Kingdom ,2/19/2017,10.0
332082,Hotel Palace GL, United Arab Emirates ,4/6/2017,10.0
159443,Eiffel Trocad ro, Romania ,2/2/2017,8.3
12567,Select Hotel, Austria ,6/25/2016,9.6
319640,NH Hesperia Barcelona del Mar, United States of America ,5/13/2016,10.0
153501,Courthouse Hotel Shoreditch, United Kingdom ,7/16/2016,7.5
27347,The Grosvenor, United States of America ,9/9/2016,8.8
315483,Graben Hotel, Switzerland ,8/15/2015,9.6
182307,Chiswick Rooms, United Kingdom ,6/19/2016,7.9
361036,Eurostars Ramblas, Bahrain ,7/9/2016,8.8
169328,Hilton London Olympia, United Kingdom ,4/10/2017,9.6
77527,Danubius Hotel Regents Park, Kuwait ,2/24/2017,8.8
317571,Holiday Inn London Wembley, United Kingdom ,5/20/2017,9.6
301317,Holiday Inn London Bloomsbury, France ,2/16/2016,8.8
30573,The Kensington Hotel, Estonia ,4/21/2016,8.8
320247,St Pancras Renaissance Hotel London, United Kingdom ,5/29/2017,9.6
146181,Radisson Blu Edwardian Hampshire, Kuwait ,4/5/2017,9.6
232357,Grange Rochester Hotel, United Kingdom ,5/30/2017,7.9
402085,Claris Hotel Spa GL, United Kingdom ,2/15/2016,10.0
329430,Silken Gran Hotel Havana, Ireland ,7/23/2016,8.3
392188,DoubleTree by Hilton Amsterdam Centraal Station, United Kingdom ,1/3/2016,10.0
261456,DoubleTree by Hilton London West End, United Kingdom ,8/2/2017,8.8
296625,Thistle Euston, United Kingdom ,8/9/2016,10.0
96678,citizenM London Bankside, United Kingdom ,2/28/2016,10.0
55079,Best Western Premier Le Swann, Hong Kong ,7/13/2016,8.3
477538,Barcel Milan, Italy ,3/14/2017,9.2
56718,DoubleTree by Hilton London Hyde Park, United States of America ,3/16/2017,10.0
346821,Amadi Panorama Hotel, United Kingdom ,8/1/2016,8.8
383150,Mercure Amsterdam Sloterdijk Station, United Kingdom ,11/9/2015,10.0
96049,The Hari London, Cyprus ,4/6/2016,10.0
249875,Novotel Paris Les Halles, Saudi Arabia ,9/9/2016,7.5
347856,Room Mate Aitana, United Kingdom ,6/9/2016,10.0
256993,88 Studios, United Kingdom ,2/21/2017,9.2
21785,Le Metropolitan a Tribute Portfolio Hotel, Slovakia ,11/21/2016,9.2
366218,BEST WESTERN PLUS Amedia Wien, Ukraine ,8/18/2015,9.6
488899,Hotel Da Vinci, Germany ,9/5/2016,4.6
417976,The Ned, Isle of Man ,7/16/2017,7.5
439520,Capri by Fraser Barcelona, Austria ,5/5/2016,8.3
285929,Hotel Regina, United Kingdom ,2/11/2017,6.3
390262,Aloft London Excel, Denmark ,2/29/2016,10.0
156141,Norfolk Towers Paddington, New Zealand ,5/31/2016,10.0
438918,Radisson Blu Hotel Amsterdam, United Kingdom ,9/27/2015,5.8
376037,Hallmark Hotel London Chigwell Prince Regent, United Kingdom ,11/5/2016,4.6
102020,Mondrian London, United Kingdom ,9/21/2015,9.6
347131,Amadi Panorama Hotel, Italy ,12/3/2015,9.6
77254,Danubius Hotel Regents Park, United Kingdom ,5/31/2017,7.9
493238,Radisson Blu Hotel Milan, Bulgaria ,7/10/2017,5.8
319803,Novotel Amsterdam City, Australia ,7/1/2016,6.7
510378,The Student Hotel Amsterdam City, United Kingdom ,9/6/2016,10.0
13106,Hotel Panache, France ,5/9/2017,7.9
508158,Park Plaza Westminster Bridge London, United Kingdom ,8/23/2015,10.0
37237,Park International Hotel, United Kingdom ,5/30/2016,8.3
29082,Thistle Kensington Gardens, United Kingdom ,8/30/2015,7.9
513325,Holiday Inn London Kensington, United Kingdom ,7/14/2016,6.7
322278,DoubleTree By Hilton London Excel, United Kingdom ,1/9/2017,7.9
316157,Amadi Park Hotel, United States of America ,7/9/2016,3.3
36788,The Athenaeum, South Korea ,9/9/2016,6.3
54329,The Montague On The Gardens, United Kingdom ,4/30/2017,10.0
27271,The Grosvenor, Portugal ,11/6/2016,7.9
54620,The Montague On The Gardens, United Kingdom ,4/4/2016,10.0
15467,Intercontinental London The O2, United Kingdom ,7/26/2016,8.8
369314,Hampshire Hotel Amsterdam American, Bahrain ,10/1/2016,7.9
198170,Radisson Blu Edwardian New Providence Wharf, United Kingdom ,8/10/2016,3.8
512433,Hotel Amadeus, Jordan ,6/7/2016,8.8
383304,Mercure Amsterdam Sloterdijk Station, India ,4/1/2017,9.6
382763,Catalonia Barcelona 505, Belgium ,4/11/2016,10.0
107093,Montcalm Royal London House City of London, United Kingdom ,5/30/2017,9.2
578,K K Hotel George, United Kingdom ,3/18/2016,10.0
78925,The LaLit London, United Kingdom ,7/6/2017,9.2
232760,Gainsborough Hotel, United Kingdom ,5/18/2017,6.3
226330,Clayton Hotel Chiswick, Saudi Arabia ,3/27/2017,9.2
298328,Doubletree By Hilton London Greenwich, United Kingdom ,5/3/2016,7.9
149248,Park Grand London Kensington, United Kingdom ,3/25/2017,10.0
157866,Best Western Maitrise Hotel Edgware Road, United Kingdom ,2/15/2017,4.6
291826,Catalonia La Pedrera, United Kingdom ,6/13/2016,8.8
50690,Best Western Premier Louvre Saint Honor , United Kingdom ,4/12/2017,9.2
15672,Intercontinental London The O2, United Kingdom ,4/26/2016,7.5
306456,NH Collection Amsterdam Grand Hotel Krasnapolsky, Saudi Arabia ,2/6/2017,8.8
447373,Hotel de France Wien, Turkey ,1/25/2016,9.2
316963,Holiday Inn London Wembley, United Kingdom ,12/18/2016,6.3
83084,The Gore Hotel Starhotels Collezione, United Kingdom ,9/8/2015,8.3
14419,Novotel London West, Guernsey ,4/3/2016,10.0
474472,Hotel Marconi, Cyprus ,9/7/2015,8.3
79632,Courthouse Hotel London, United Kingdom ,11/23/2016,9.6
423650,Catalonia Park Putxet, Russia ,6/21/2016,6.3
199736,Hilton London Tower Bridge, United Kingdom ,5/3/2016,10.0
255408,Best Western Plus Seraphine Hammersmith Hotel, United Kingdom ,2/21/2017,9.2
402680,Catalonia Ramblas 4 Sup, France ,9/19/2015,7.1
505495,Park Plaza Westminster Bridge London, United Kingdom ,1/15/2016,9.6
334854,FourSide Hotel Vienna City Center, Finland ,8/4/2015,5.0
368547,Best Western Blue Tower Hotel, Germany ,11/24/2015,9.6
482989,Crowne Plaza Milan City, United Arab Emirates ,2/3/2017,8.3
80158,Best Western The Boltons Hotel London Kensington, United Kingdom ,11/22/2015,7.1
48664,Park Grand London Lancaster Gate, United Kingdom ,4/12/2016,10.0
443282,Copthorne Tara Hotel London Kensington, United Kingdom ,10/2/2016,7.1
113511,Hilton London Metropole, United Kingdom ,12/11/2016,9.2
195037,Suites H tel Helzear Champs Elys es, Saudi Arabia ,10/18/2015,7.9
133427,Hotel Duminy Vendome, United Kingdom ,2/6/2017,8.3
252968,Le M ridien Etoile, Luxembourg ,1/7/2017,8.3
169435,Hilton London Olympia, United Kingdom ,11/5/2016,8.3
385319,Acta CITY47, United Kingdom ,7/29/2016,10.0
258999,Hotel Moonlight, Australia ,8/2/2017,9.6
392178,DoubleTree by Hilton Amsterdam Centraal Station, Puerto Rico ,1/8/2016,10.0
149559,Park Grand London Kensington, United States of America ,7/2/2016,7.5
128291,Park Grand Paddington Court, Israel ,3/4/2017,7.0
233125,Gainsborough Hotel, Italy ,8/16/2015,4.6
492442,AC Hotel Milano a Marriott Lifestyle Hotel, Iraq ,3/9/2017,7.9
159878,H tel Champs lys es Plaza, France ,4/28/2017,7.9
97135,citizenM London Bankside, Kenya ,10/26/2016,8.3
343012,Austria Trend Parkhotel Sch nbrunn Wien, United Kingdom ,5/31/2016,9.6
64482,Britannia International Hotel Canary Wharf, United Kingdom ,2/20/2017,2.5
6373,Park Plaza County Hall London, United Kingdom ,5/21/2017,10.0
208974,The Montcalm At Brewery London City, United Kingdom ,6/6/2016,10.0
314559,Petit Palace Museum, France ,12/31/2015,5.4
200410,Novotel London Wembley, United Kingdom ,5/22/2017,9.2
224932,Novotel Paris Centre Tour Eiffel, Ireland ,6/30/2017,9.6
406071,Excelsior Hotel Gallia Luxury Collection Hotel, United Kingdom ,5/22/2017,6.3
147650,Shangri La Hotel at The Shard London, United Kingdom ,10/15/2016,9.6
190146,The Justin James Hotel, United Kingdom ,11/4/2016,10.0
314048,Eurostars Cristal Palace, Philippines ,5/26/2016,8.8
173561,Millennium Gloucester Hotel London, United Kingdom ,5/31/2016,6.7
106346,H tel Etoile Saint Honor by Happyculture, United Kingdom ,2/14/2016,9.6
271947,Apollo Hotel Amsterdam, Sweden ,5/31/2017,10.0
483743,Hotel Berna, Ireland ,11/26/2016,10.0
358618,K K Hotel Maria Theresia, United Kingdom ,4/6/2017,8.8
452104,Hotel Royal, United Kingdom ,11/16/2015,9.6
255522,Best Western Plus Seraphine Hammersmith Hotel, United Kingdom ,5/30/2016,9.4
387697,Inntel Hotels Amsterdam Centre, United States of America ,8/9/2016,10.0
42433,London Marriott Hotel Regents Park, New Zealand ,8/11/2016,7.5
490617,Hotel Spadari Al Duomo, United Kingdom ,3/22/2017,10.0
437015,Crowne Plaza London Docklands, United Kingdom ,10/18/2016,10.0
330653,Avenida Palace, Australia ,6/14/2016,6.7
60069,Clayton Crown Hotel London, United Kingdom ,10/3/2016,10.0
395402,Hampton by Hilton Amsterdam Centre East, Israel ,5/31/2017,9.6
457918,The Tower A Guoman Hotel, United Kingdom ,10/4/2016,10.0
333080,The Cumberland A Guoman Hotel, Israel ,5/7/2017,5.8
108078,Conrad London St James, United States of America ,11/11/2015,7.9
262536,Holiday Inn London Kensington Forum, Kuwait ,5/15/2017,7.1
186071,Grange Strathmore Hotel, United Kingdom ,12/23/2016,10.0
98405,Radisson Blu Edwardian Mercer Street, Denmark ,1/10/2016,9.2
321758,DoubleTree By Hilton London Excel, United Kingdom ,7/9/2016,10.0
505628,Park Plaza Westminster Bridge London, United States of America ,11/15/2015,10.0
108974,London Marriott Hotel West India Quay, United Kingdom ,6/12/2017,9.2
439204,Catalonia Rigoletto, United Kingdom ,4/3/2016,7.5
103713,Montfleuri, United States of America ,9/11/2015,10.0
239262,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,8/4/2015,5.4
466388,Amba Hotel Charing Cross, Russia ,10/5/2016,8.3
285920,Hotel Regina, United Kingdom ,3/14/2017,10.0
387656,Inntel Hotels Amsterdam Centre, United Kingdom ,10/18/2016,7.5
465703,Hotel City Central, United Kingdom ,6/14/2016,9.6
115904,Henry VIII, United Kingdom ,12/17/2016,5.0
494496,Bianca Maria Palace Hotel, Israel ,12/16/2016,10.0
413431,H10 Urquinaona Plaza, United Kingdom ,10/3/2016,10.0
266019,Sir Albert Hotel, United Kingdom ,2/3/2017,10.0
215006,Mimi s Hotel Soho, United Kingdom ,5/12/2017,7.1
253515,The Hoxton Shoreditch, United Kingdom ,5/17/2016,8.3
366159,BEST WESTERN PLUS Amedia Wien, Ireland ,11/24/2015,9.6
